epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,113.701,2.00846,2.61585,1.0556,0.26921,0.15299,0.10486,0.05632,1.8021,1.62675,0.9901,0.000237779,0.000237779,0.000237779
2,213.233,1.83205,1.62905,0.99383,0.33517,0.21752,0.14729,0.07979,1.70216,1.46232,0.96001,0.000460079,0.000460079,0.000460079
3,299.484,1.7859,1.511,0.97439,0.25792,0.22514,0.16768,0.09028,1.67724,1.37878,0.95096,0.00066667,0.00066667,0.00066667
4,374.737,1.75011,1.44263,0.96682,0.2884,0.23309,0.17749,0.09615,1.66712,1.35612,0.95053,0.000643314,0.000643314,0.000643314
5,447.651,1.72556,1.39017,0.96103,0.31136,0.24628,0.19796,0.10757,1.63463,1.29051,0.93814,0.000619752,0.000619752,0.000619752
6,522.114,1.71027,1.35186,0.95493,0.31,0.24182,0.19467,0.10827,1.63176,1.28726,0.93533,0.00059619,0.00059619,0.00059619
7,596.992,1.69425,1.32833,0.94976,0.31674,0.25482,0.20939,0.11408,1.60742,1.25933,0.93263,0.000572628,0.000572628,0.000572628
8,670.586,1.67689,1.30381,0.94431,0.32942,0.27188,0.22332,0.12174,1.57995,1.22099,0.92826,0.000549066,0.000549066,0.000549066
9,749.355,1.67425,1.28899,0.94375,0.32772,0.26785,0.2226,0.12375,1.57279,1.22512,0.92676,0.000525504,0.000525504,0.000525504
10,827.57,1.65476,1.26275,0.93783,0.35754,0.26823,0.23151,0.12801,1.57119,1.20232,0.92636,0.000501942,0.000501942,0.000501942
11,898.311,1.65711,1.25628,0.93681,0.3692,0.27466,0.23482,0.12889,1.56699,1.19623,0.92737,0.00047838,0.00047838,0.00047838
12,972.185,1.64245,1.24575,0.93604,0.35477,0.28089,0.23664,0.13152,1.55839,1.18179,0.92073,0.000454818,0.000454818,0.000454818
13,1045.06,1.63818,1.23391,0.93211,0.34939,0.29041,0.24445,0.13671,1.53934,1.16953,0.91876,0.000431256,0.000431256,0.000431256
14,1118.35,1.61695,1.21263,0.92893,0.35912,0.2921,0.24597,0.13583,1.52816,1.15416,0.91522,0.000407694,0.000407694,0.000407694
15,1197.34,1.61752,1.20236,0.9258,0.36779,0.29058,0.24957,0.13725,1.5338,1.15803,0.91612,0.000384132,0.000384132,0.000384132
16,1280.3,1.59313,1.18853,0.92566,0.38263,0.28037,0.25247,0.13971,1.53832,1.15299,0.91502,0.00036057,0.00036057,0.00036057
17,1356.09,1.60341,1.18325,0.92464,0.37722,0.29446,0.25535,0.14127,1.53554,1.14902,0.91939,0.000337008,0.000337008,0.000337008
18,1427.04,1.60074,1.18033,0.92171,0.37163,0.29328,0.25865,0.14424,1.52163,1.14254,0.91384,0.000313446,0.000313446,0.000313446
19,1497.53,1.58215,1.16544,0.92093,0.3845,0.29739,0.25987,0.14463,1.51916,1.13512,0.91196,0.000289884,0.000289884,0.000289884
20,1568.42,1.58416,1.16078,0.91895,0.37445,0.3011,0.25885,0.14318,1.51458,1.1316,0.91284,0.000266322,0.000266322,0.000266322
21,1637.37,1.53691,1.1323,0.91953,0.37494,0.30038,0.25949,0.14372,1.52078,1.13248,0.91068,0.00024276,0.00024276,0.00024276
22,1701.94,1.52162,1.11234,0.91601,0.37912,0.29401,0.26108,0.14604,1.51716,1.12625,0.91168,0.000219198,0.000219198,0.000219198
23,1766.41,1.5149,1.10366,0.91395,0.37407,0.30083,0.26053,0.14472,1.50808,1.1247,0.9101,0.000195636,0.000195636,0.000195636
24,1831.12,1.50805,1.0906,0.91036,0.39127,0.30325,0.26638,0.14873,1.5026,1.11209,0.90861,0.000172074,0.000172074,0.000172074
25,1895.96,1.50355,1.08524,0.91111,0.38842,0.30191,0.2656,0.14869,1.5011,1.11113,0.90852,0.000148512,0.000148512,0.000148512
26,1960.8,1.49634,1.07572,0.90816,0.40151,0.30022,0.27098,0.15115,1.49933,1.10264,0.90999,0.00012495,0.00012495,0.00012495
27,2025.66,1.48702,1.06324,0.9085,0.40506,0.3013,0.27007,0.15151,1.49797,1.10163,0.90836,0.000101388,0.000101388,0.000101388
28,2090.78,1.48637,1.05781,0.90857,0.40333,0.30327,0.27273,0.15292,1.49657,1.09991,0.90808,7.7826e-05,7.7826e-05,7.7826e-05
29,2155.78,1.48004,1.05241,0.90491,0.40013,0.30217,0.26996,0.15248,1.49164,1.09428,0.90585,5.4264e-05,5.4264e-05,5.4264e-05
30,2220.74,1.47179,1.04402,0.90273,0.39786,0.30136,0.27345,0.15323,1.48689,1.09155,0.9054,3.0702e-05,3.0702e-05,3.0702e-05
