epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,139.503,2.20899,2.25137,0.00299,0.34125,0.26576,0.21577,0.1206,2.04358,1.66433,0.00362,0.000237412,0.000237412,0.000237412
2,272.09,2.13041,1.64855,0.00272,0.38983,0.29014,0.25628,0.14481,2.0052,1.55519,0.00354,0.000459724,0.000459724,0.000459724
3,415.372,2.1183,1.57741,0.00267,0.37696,0.30765,0.26233,0.14585,2.00654,1.56076,0.00343,0.000666327,0.000666327,0.000666327
4,556.038,2.08555,1.54434,0.00263,0.39991,0.32071,0.28441,0.162,1.97959,1.49555,0.00341,0.000643314,0.000643314,0.000643314
5,693.772,2.06712,1.50106,0.00259,0.42543,0.31894,0.2847,0.16201,1.98186,1.48748,0.00336,0.000619752,0.000619752,0.000619752
6,836.478,2.06352,1.47197,0.00255,0.44471,0.332,0.30168,0.17082,1.96178,1.45289,0.00332,0.00059619,0.00059619,0.00059619
7,978.474,2.04947,1.44618,0.00253,0.43558,0.34559,0.314,0.17882,1.94185,1.44924,0.00331,0.000572628,0.000572628,0.000572628
8,1120.52,2.03499,1.42549,0.00249,0.4447,0.34949,0.31887,0.17797,1.94485,1.43743,0.00328,0.000549066,0.000549066,0.000549066
9,1254.62,2.0201,1.40979,0.00247,0.45443,0.34211,0.31702,0.18146,1.92592,1.4186,0.00327,0.000525504,0.000525504,0.000525504
10,1382.88,2.01227,1.39295,0.00243,0.44359,0.34253,0.32118,0.18341,1.92652,1.39961,0.00326,0.000501942,0.000501942,0.000501942
11,1507.82,1.99305,1.37233,0.00242,0.44692,0.35161,0.32555,0.18628,1.90712,1.38628,0.0032,0.00047838,0.00047838,0.00047838
12,1632.61,1.98723,1.36693,0.0024,0.44683,0.35365,0.32943,0.18692,1.9201,1.39885,0.00323,0.000454818,0.000454818,0.000454818
13,1756.68,1.97438,1.34593,0.0024,0.45066,0.36084,0.33226,0.18986,1.90752,1.40651,0.00321,0.000431256,0.000431256,0.000431256
14,1880.85,1.97055,1.34017,0.00237,0.46618,0.36244,0.34015,0.19572,1.88949,1.36587,0.00317,0.000407694,0.000407694,0.000407694
15,2005.88,1.97434,1.33213,0.00233,0.4633,0.3703,0.34454,0.19659,1.89758,1.35375,0.00317,0.000384132,0.000384132,0.000384132
16,2138.77,1.96202,1.31498,0.00234,0.4694,0.36264,0.34488,0.19832,1.88389,1.35436,0.00314,0.00036057,0.00036057,0.00036057
17,2274.6,1.95422,1.30759,0.00231,0.47725,0.37151,0.34754,0.19945,1.88328,1.35914,0.00315,0.000337008,0.000337008,0.000337008
18,2414.89,1.94683,1.29294,0.0023,0.48917,0.36605,0.35111,0.20355,1.87222,1.35201,0.00312,0.000313446,0.000313446,0.000313446
19,2555.68,1.92824,1.28011,0.0023,0.48795,0.36632,0.35186,0.20295,1.87534,1.33927,0.00312,0.000289884,0.000289884,0.000289884
20,2695.29,1.92532,1.27194,0.00228,0.49314,0.37075,0.35691,0.20618,1.86897,1.3272,0.00311,0.000266322,0.000266322,0.000266322
21,2821.97,1.86083,1.23377,0.00236,0.49635,0.36893,0.35582,0.20623,1.86543,1.32623,0.00311,0.00024276,0.00024276,0.00024276
22,2938.05,1.85028,1.21944,0.00234,0.47945,0.37177,0.35659,0.20636,1.87517,1.33633,0.0031,0.000219198,0.000219198,0.000219198
23,3055.25,1.84089,1.20535,0.00232,0.48733,0.37576,0.36307,0.21191,1.8646,1.31309,0.00309,0.000195636,0.000195636,0.000195636
24,3173.16,1.83782,1.19445,0.00229,0.49155,0.37562,0.36123,0.20968,1.85719,1.31998,0.00307,0.000172074,0.000172074,0.000172074
25,3291.53,1.82466,1.18654,0.00229,0.4878,0.37852,0.36175,0.21045,1.85344,1.32343,0.00306,0.000148512,0.000148512,0.000148512
26,3411.14,1.82323,1.17622,0.00227,0.49232,0.38139,0.36514,0.213,1.84914,1.31531,0.00306,0.00012495,0.00012495,0.00012495
27,3531.41,1.80535,1.16392,0.00226,0.49328,0.38207,0.36546,0.21247,1.84865,1.30686,0.00306,0.000101388,0.000101388,0.000101388
28,3653.5,1.80663,1.15799,0.00225,0.4933,0.38089,0.36612,0.21257,1.84891,1.31079,0.00305,7.7826e-05,7.7826e-05,7.7826e-05
29,3770.1,1.80448,1.15506,0.00223,0.49923,0.38197,0.36772,0.21328,1.85037,1.30771,0.00305,5.4264e-05,5.4264e-05,5.4264e-05
30,3891.21,1.79071,1.14456,0.00222,0.49824,0.38398,0.37037,0.21489,1.84348,1.30462,0.00304,3.0702e-05,3.0702e-05,3.0702e-05
