epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.60803,1.00551,2.08614,1.52204,0.59839,0.85,0.79764,0.60827,1.61168,1.09869,1.37201,0,0,0
2,3.81432,0.83171,2.7006,1.24565,0.58748,0.85,0.84003,0.63991,1.63158,1.09577,1.37273,1.07219e-06,1.07219e-06,1.07219e-06
3,4.02222,0.79854,1.97332,1.16651,0.59238,0.85,0.83964,0.63999,1.63398,1.09717,1.37413,1.90876e-06,1.90876e-06,1.90876e-06
4,4.27187,0.9451,2.79777,1.40811,0.60599,0.85,0.84036,0.64017,1.63654,1.09392,1.37303,2.50971e-06,2.50971e-06,2.50971e-06
5,4.46447,0.92807,2.24018,1.16615,0.62049,0.85,0.8473,0.64241,1.62845,1.07699,1.36701,2.87504e-06,2.87504e-06,2.87504e-06
6,4.79001,0.80577,1.61921,1.20556,0.62213,0.85,0.84308,0.64117,1.61259,1.06996,1.35512,3.00475e-06,3.00475e-06,3.00475e-06
7,5.07063,0.76989,2.15349,1.23049,0.62802,0.85,0.84236,0.64096,1.60994,1.07622,1.35281,2.89884e-06,2.89884e-06,2.89884e-06
8,5.31413,0.9009,2.03003,1.40871,0.6531,0.89603,0.89902,0.64663,1.60871,1.08287,1.34252,2.55731e-06,2.55731e-06,2.55731e-06
9,5.59896,1.02244,2.56064,1.394,0.64844,0.85,0.84991,0.64318,1.59233,1.06513,1.33043,1.98016e-06,1.98016e-06,1.98016e-06
10,5.84889,1.15529,2.28579,1.50188,0.65521,0.85,0.85072,0.64097,1.56553,1.05045,1.31924,1.16739e-06,1.16739e-06,1.16739e-06
