time,x,y,vx,vy,state
0.0,2.0,0.0,0.0,0.0,ACQUIRE
0.033,1.967,0.0,-1.0,-0.0,ALIGN
0.066,1.934,0.0,-1.0,-0.0,ALIGN
0.099,1.901,0.0,-1.0,-0.0,ALIGN
0.132,1.868,0.0,-1.0,-0.0,ALIGN
0.165,1.835,0.0,-1.0,-0.0,ALIGN
0.198,1.802,0.0,-1.0,-0.0,ALIGN
0.231,1.769,0.0,-1.0,-0.0,ALIGN
0.264,1.736,0.0,-1.0,-0.0,ALIGN
0.297,1.703,0.0,-1.0,-0.0,ALIGN
0.33,1.67,0.0,-1.0,-0.0,ALIGN
0.363,1.637,0.0,-1.0,-0.0,ALIGN
0.396,1.604,0.0,-1.0,-0.0,ALIGN
0.429,1.571,0.0,-1.0,-0.0,ALIGN
0.462,1.538,0.0,-1.0,-0.0,ALIGN
0.495,1.505,0.0,-1.0,-0.0,ALIGN
0.528,1.472,0.0,-1.0,-0.0,ALIGN
0.561,1.439,0.0,-1.0,-0.0,ALIGN
0.594,1.406,0.0,-1.0,-0.0,ALIGN
0.627,1.373,0.0,-1.0,-0.0,ALIGN
0.66,1.34,0.0,-1.0,-0.0,ALIGN
0.693,1.307,0.0,-1.0,-0.0,ALIGN
0.726,1.274,0.0,-1.0,-0.0,ALIGN
0.759,1.241,0.0,-1.0,-0.0,ALIGN
0.792,1.208,0.0,-1.0,-0.0,ALIGN
0.825,1.175,0.0,-1.0,-0.0,ALIGN
0.858,1.142,0.0,-1.0,-0.0,ALIGN
0.891,1.109,0.0,-1.0,-0.0,ALIGN
0.924,1.076,0.0,-1.0,-0.0,ALIGN
0.957,1.0438,0.0,-0.9764,-0.0,ALIGN
0.99,1.0126,0.0,-0.9457,-0.0,ALIGN
1.023,0.9823,0.0,-0.9169,-0.0,ALIGN
1.056,0.953,0.0,-0.8895,-0.0,ALIGN
1.089,0.9245,0.0,-0.8631,-0.0,ALIGN
1.122,0.8968,0.0,-0.8375,-0.0,ALIGN
1.155,0.87,0.0,-0.8128,-0.0,ALIGN
1.188,0.844,0.0,-0.7888,-0.0,ALIGN
1.221,0.8187,0.0,-0.7655,-0.0,ALIGN
1.254,0.7942,0.0,-0.7429,-0.0,ALIGN
1.287,0.7704,0.0,-0.721,-0.0,ALIGN
1.32,0.7473,0.0,-0.6997,-0.0,ALIGN
1.353,0.7249,0.0,-0.679,-0.0,ALIGN
1.386,0.7032,0.0,-0.659,-0.0,ALIGN
1.419,0.6821,0.0,-0.6396,-0.0,ALIGN
1.452,0.6616,0.0,-0.6207,-0.0,ALIGN
1.485,0.6417,0.0,-0.6024,-0.0,ALIGN
1.518,0.6224,0.0,-0.5846,-0.0,ALIGN
1.551,0.6037,0.0,-0.5673,-0.0,ALIGN
1.584,0.5855,0.0,-0.5506,-0.0,ALIGN
1.617,0.5679,0.0,-0.5343,-0.0,ALIGN
1.65,0.5508,0.0,-0.5186,-0.0,ALIGN
1.683,0.5342,0.0,-0.5033,-0.0,ALIGN
1.716,0.5181,0.0,-0.4884,-0.0,ALIGN
1.749,0.5024,0.0,-0.474,-0.0,ALIGN
1.782,0.4872,0.0,-0.46,-0.0,ALIGN
1.815,0.4725,0.0,-0.4464,-0.0,ALIGN
1.848,0.4582,0.0,-0.4333,-0.0,ALIGN
1.881,0.4443,0.0,-0.4205,-0.0,ALIGN
1.914,0.4309,0.0,-0.4081,-0.0,ALIGN
1.947,0.4178,0.0,-0.396,-0.0,ALIGN
1.98,0.4051,0.0,-0.3843,-0.0,ALIGN
2.013,0.3928,0.0,-0.373,-0.0,ALIGN
2.046,0.3809,0.0,-0.362,-0.0,ALIGN
2.079,0.3693,0.0,-0.3513,-0.0,ALIGN
2.112,0.358,0.0,-0.3409,-0.0,ALIGN
2.145,0.3471,0.0,-0.3309,-0.0,ALIGN
2.178,0.3365,0.0,-0.3211,-0.0,ALIGN
2.211,0.3262,0.0,-0.3116,-0.0,ALIGN
2.244,0.3162,0.0,-0.3024,-0.0,ALIGN
2.277,0.3066,0.0,-0.2935,-0.0,ALIGN
2.31,0.2972,0.0,-0.2848,-0.0,ALIGN
2.343,0.288,0.0,-0.2764,-0.0,ALIGN
2.376,0.2792,0.0,-0.2683,-0.0,ALIGN
2.409,0.2706,0.0,-0.2603,-0.0,ALIGN
2.442,0.2623,0.0,-0.2527,-0.0,ALIGN
2.475,0.2542,0.0,-0.2452,-0.0,ALIGN
2.508,0.2463,0.0,-0.238,-0.0,ALIGN
2.541,0.2387,0.0,-0.2309,-0.0,ALIGN
2.574,0.2313,0.0,-0.2241,-0.0,ALIGN
2.607,0.2241,0.0,-0.2175,-0.0,ALIGN
2.64,0.2171,0.0,-0.2111,-0.0,ALIGN
2.673,0.2104,0.0,-0.2048,-0.0,ALIGN
2.706,0.2038,0.0,-0.1988,-0.0,ALIGN
2.739,0.1975,0.0,-0.1929,-0.0,ALIGN
2.772,0.1913,0.0,-0.1872,-0.0,ALIGN
2.805,0.1853,0.0,-0.1817,-0.0,ALIGN
2.838,0.1795,0.0,-0.1763,-0.0,ALIGN
2.871,0.1738,0.0,-0.1711,-0.0,ALIGN
