time,x,y,vx,vy,state
0.0,1.5,1.5,0.0,0.0,ACQUIRE
0.033,1.467,1.467,-1.0,-1.0,ALIGN
0.066,1.434,1.434,-1.0,-1.0,ALIGN
0.099,1.401,1.401,-1.0,-1.0,ALIGN
0.132,1.368,1.368,-1.0,-1.0,ALIGN
0.165,1.335,1.335,-1.0,-1.0,ALIGN
0.198,1.302,1.302,-1.0,-1.0,ALIGN
0.231,1.269,1.269,-1.0,-1.0,ALIGN
0.264,1.236,1.236,-1.0,-1.0,ALIGN
0.297,1.203,1.203,-1.0,-1.0,ALIGN
0.33,1.17,1.17,-1.0,-1.0,ALIGN
0.363,1.137,1.137,-1.0,-1.0,ALIGN
0.396,1.104,1.104,-1.0,-1.0,ALIGN
0.429,1.071,1.071,-1.0,-1.0,ALIGN
0.462,1.0389,1.0389,-0.9714,-0.9714,ALIGN
0.495,1.0079,1.0079,-0.9411,-0.9411,ALIGN
0.528,0.9778,0.9778,-0.9126,-0.9126,ALIGN
0.561,0.9486,0.9486,-0.8853,-0.8853,ALIGN
0.594,0.9202,0.9202,-0.8591,-0.8591,ALIGN
0.627,0.8927,0.8927,-0.8336,-0.8336,ALIGN
0.66,0.866,0.866,-0.809,-0.809,ALIGN
0.693,0.8401,0.8401,-0.7851,-0.7851,ALIGN
0.726,0.8149,0.8149,-0.7619,-0.7619,ALIGN
0.759,0.7905,0.7905,-0.7395,-0.7395,ALIGN
0.792,0.7669,0.7669,-0.7176,-0.7176,ALIGN
0.825,0.7439,0.7439,-0.6965,-0.6965,ALIGN
0.858,0.7216,0.7216,-0.6759,-0.6759,ALIGN
0.891,0.6999,0.6999,-0.656,-0.656,ALIGN
0.924,0.6789,0.6789,-0.6366,-0.6366,ALIGN
0.957,0.6585,0.6585,-0.6178,-0.6178,ALIGN
0.99,0.6387,0.6387,-0.5996,-0.5996,ALIGN
1.023,0.6195,0.6195,-0.5819,-0.5819,ALIGN
1.056,0.6009,0.6009,-0.5647,-0.5647,ALIGN
1.089,0.5828,0.5828,-0.548,-0.548,ALIGN
1.122,0.5653,0.5653,-0.5319,-0.5319,ALIGN
1.155,0.5482,0.5482,-0.5162,-0.5162,ALIGN
1.188,0.5317,0.5317,-0.5009,-0.5009,ALIGN
1.221,0.5157,0.5157,-0.4862,-0.4862,ALIGN
1.254,0.5001,0.5001,-0.4718,-0.4718,ALIGN
1.287,0.485,0.485,-0.4579,-0.4579,ALIGN
1.32,0.4703,0.4703,-0.4444,-0.4444,ALIGN
1.353,0.4561,0.4561,-0.4313,-0.4313,ALIGN
1.386,0.4423,0.4423,-0.4185,-0.4185,ALIGN
1.419,0.4289,0.4289,-0.4062,-0.4062,ALIGN
1.452,0.4159,0.4159,-0.3942,-0.3942,ALIGN
1.485,0.4032,0.4032,-0.3826,-0.3826,ALIGN
1.518,0.391,0.391,-0.3713,-0.3713,ALIGN
1.551,0.3791,0.3791,-0.3603,-0.3603,ALIGN
1.584,0.3676,0.3676,-0.3497,-0.3497,ALIGN
1.617,0.3564,0.3564,-0.3393,-0.3393,ALIGN
1.65,0.3455,0.3455,-0.3293,-0.3293,ALIGN
1.683,0.3349,0.3349,-0.3196,-0.3196,ALIGN
1.716,0.3247,0.3247,-0.3102,-0.3102,ALIGN
1.749,0.3148,0.3148,-0.301,-0.301,ALIGN
1.782,0.3051,0.3051,-0.2921,-0.2921,ALIGN
1.815,0.2958,0.2958,-0.2835,-0.2835,ALIGN
1.848,0.2867,0.2867,-0.2751,-0.2751,ALIGN
1.881,0.2779,0.2779,-0.267,-0.267,ALIGN
1.914,0.2693,0.2693,-0.2591,-0.2591,ALIGN
1.947,0.261,0.261,-0.2515,-0.2515,ALIGN
1.98,0.253,0.253,-0.2441,-0.2441,ALIGN
2.013,0.2452,0.2452,-0.2369,-0.2369,ALIGN
2.046,0.2376,0.2376,-0.2299,-0.2299,ALIGN
2.079,0.2302,0.2302,-0.2231,-0.2231,ALIGN
2.112,0.2231,0.2231,-0.2165,-0.2165,ALIGN
2.145,0.2161,0.2161,-0.2101,-0.2101,ALIGN
2.178,0.2094,0.2094,-0.2039,-0.2039,ALIGN
2.211,0.2029,0.2029,-0.1979,-0.1979,ALIGN
2.244,0.1965,0.1965,-0.192,-0.192,ALIGN
2.277,0.1904,0.1904,-0.1864,-0.1864,ALIGN
2.31,0.1844,0.1844,-0.1809,-0.1809,ALIGN
2.343,0.1786,0.1786,-0.1755,-0.1755,ALIGN
2.376,0.173,0.173,-0.1703,-0.1703,ALIGN
2.409,0.1676,0.1676,-0.1653,-0.1653,ALIGN
2.442,0.1623,0.1623,-0.1604,-0.1604,ALIGN
2.475,0.1571,0.1571,-0.1557,-0.1557,ALIGN
2.508,0.1521,0.1521,-0.1511,-0.1511,ALIGN
2.541,0.1473,0.1473,-0.1466,-0.1466,ALIGN
2.574,0.1426,0.1426,-0.1423,-0.1423,ALIGN
2.607,0.1381,0.1381,-0.1381,-0.1381,ALIGN
2.64,0.1336,0.1336,-0.134,-0.134,ALIGN
2.673,0.1293,0.1293,-0.1301,-0.1301,ALIGN
2.706,0.1252,0.1252,-0.1262,-0.1262,ALIGN
2.739,0.1211,0.1211,-0.1225,-0.1225,ALIGN
2.772,0.1172,0.1172,-0.1189,-0.1189,ALIGN
2.805,0.1134,0.1134,-0.1154,-0.1154,ALIGN
2.838,0.1097,0.1097,-0.112,-0.112,ALIGN
2.871,0.1061,0.1061,-0.1087,-0.1087,ALIGN
2.904,0.1026,0.1026,-0.1054,-0.1054,ALIGN
2.937,0.0993,0.0993,-0.1023,-0.1023,ALIGN
2.97,0.096,0.096,-0.0993,-0.0993,ALIGN
3.003,0.0928,0.0928,-0.0964,-0.0964,ALIGN
3.036,0.0897,0.0897,-0.0935,-0.0935,ALIGN
3.069,0.0867,0.0867,-0.0908,-0.0908,ALIGN
3.102,0.0838,0.0838,-0.0881,-0.0881,ALIGN
3.135,0.081,0.081,-0.0855,-0.0855,HOLD_ALIGNMENT
3.168,0.0783,0.0783,-0.083,-0.083,DESCEND
3.201,0.0756,0.0756,-0.0805,-0.0805,DESCEND
3.234,0.073,0.073,-0.0781,-0.0781,DESCEND
3.267,0.0705,0.0705,-0.0758,-0.0758,DESCEND
3.3,0.0681,0.0681,-0.0736,-0.0736,DESCEND
3.333,0.0657,0.0657,-0.0714,-0.0714,DESCEND
3.366,0.0635,0.0635,-0.0693,-0.0693,DESCEND
3.399,0.0612,0.0612,-0.0672,-0.0672,DESCEND
3.432,0.0591,0.0591,-0.0653,-0.0653,DESCEND
3.465,0.057,0.057,-0.0633,-0.0633,DESCEND
3.498,0.055,0.055,-0.0615,-0.0615,DESCEND
3.531,0.053,0.053,-0.0596,-0.0596,DESCEND
3.564,0.0511,0.0511,-0.0579,-0.0579,DESCEND
3.597,0.0492,0.0492,-0.0562,-0.0562,DESCEND
3.63,0.0515,0.0515,0.0693,0.0693,DESCEND
3.663,0.0482,0.0482,-0.1004,-0.1004,DESCEND
3.696,0.0498,0.0498,0.0481,0.0481,DESCEND
3.729,0.0504,0.0504,0.0185,0.0185,DESCEND
3.762,0.0463,0.0463,-0.1231,-0.1231,DESCEND
3.795,0.0475,0.0475,0.0345,0.0345,DESCEND
3.828,0.0479,0.0479,0.0117,0.0117,DESCEND
3.861,0.0479,0.0479,0.0003,0.0003,DESCEND
3.894,0.0477,0.0477,-0.0054,-0.0054,DESCEND
3.927,0.0474,0.0474,-0.0082,-0.0082,DESCEND
3.96,0.0471,0.0471,-0.0097,-0.0097,DESCEND
3.993,0.0468,0.0468,-0.0104,-0.0104,DESCEND
4.026,0.0464,0.0464,-0.0107,-0.0107,DESCEND
4.059,0.046,0.046,-0.0109,-0.0109,DESCEND
4.092,0.0457,0.0457,-0.011,-0.011,DESCEND
4.125,0.0453,0.0453,-0.011,-0.011,DESCEND
4.158,0.045,0.045,-0.0111,-0.0111,DESCEND
4.191,0.0446,0.0446,-0.0111,-0.0111,DESCEND
4.224,0.0442,0.0442,-0.0111,-0.0111,DESCEND
4.257,0.0439,0.0439,-0.0111,-0.0111,DESCEND
4.29,0.0435,0.0435,-0.0111,-0.0111,DESCEND
4.323,0.0431,0.0431,-0.0111,-0.0111,DESCEND
4.356,0.0428,0.0428,-0.0111,-0.0111,DESCEND
4.389,0.0424,0.0424,-0.0111,-0.0111,DESCEND
4.422,0.042,0.042,-0.0111,-0.0111,DESCEND
4.455,0.0417,0.0417,-0.0111,-0.0111,DESCEND
4.488,0.0413,0.0413,-0.0111,-0.0111,DESCEND
4.521,0.0409,0.0409,-0.0111,-0.0111,DESCEND
4.554,0.0406,0.0406,-0.0111,-0.0111,DESCEND
4.587,0.0402,0.0402,-0.0111,-0.0111,DESCEND
4.62,0.0398,0.0398,-0.0111,-0.0111,DESCEND
4.653,0.0395,0.0395,-0.0111,-0.0111,DESCEND
4.686,0.0391,0.0391,-0.0111,-0.0111,DESCEND
4.719,0.0387,0.0387,-0.0111,-0.0111,DESCEND
4.752,0.0384,0.0384,-0.0111,-0.0111,DESCEND
4.785,0.038,0.038,-0.0111,-0.0111,DESCEND
4.818,0.0376,0.0376,-0.0111,-0.0111,DESCEND
4.851,0.0373,0.0373,-0.0111,-0.0111,DESCEND
4.884,0.0369,0.0369,-0.0111,-0.0111,DESCEND
4.917,0.0365,0.0365,-0.0111,-0.0111,DESCEND
4.95,0.0362,0.0362,-0.0111,-0.0111,DESCEND
4.983,0.0358,0.0358,-0.0111,-0.0111,DESCEND
5.016,0.0354,0.0354,-0.0111,-0.0111,DESCEND
5.049,0.0351,0.0351,-0.0111,-0.0111,DESCEND
5.082,0.0347,0.0347,-0.0111,-0.0111,DESCEND
5.115,0.0344,0.0344,-0.0111,-0.0111,DESCEND
5.148,0.034,0.034,-0.0111,-0.0111,DESCEND
5.181,0.0336,0.0336,-0.0111,-0.0111,DESCEND
5.214,0.0333,0.0333,-0.0111,-0.0111,DESCEND
5.247,0.0329,0.0329,-0.0111,-0.0111,DESCEND
5.28,0.0325,0.0325,-0.0111,-0.0111,DESCEND
5.313,0.0322,0.0322,-0.0111,-0.0111,DESCEND
5.346,0.0318,0.0318,-0.0111,-0.0111,DESCEND
5.379,0.0314,0.0314,-0.0111,-0.0111,DESCEND
