frame,dx,dy,da
0,0.37154818,10.991757,0.008845437
1,-6.0898995,9.848658,0.008755736
2,0.6142683,6.35485,0.0027394886
3,-10.353137,8.021417,0.0011787147
4,-11.743488,0.2874894,0.0029127824
5,-13.260914,-2.5765674,0.0020482866
6,-11.291512,-2.9964454,-0.007812491
7,-6.1981263,-3.3212018,-8.075964e-05
8,-12.21413,4.628484,0.0064017316
9,-14.115237,-2.9259024,0.007892009
10,-11.030085,-12.131887,0.02336223
11,0.12183142,-13.976443,0.029361323
12,5.219796,-17.123323,0.027754921
13,7.82316,-10.359015,0.019747857
14,4.3272595,-9.648575,0.0018072021
15,10.00614,-1.6170396,0.009518428
16,10.382275,-2.3402824,0.012684329
17,8.478909,4.3503685,-0.00079297135
18,8.821893,-0.5447326,-0.0031878017
19,6.455251,-2.7082496,-0.0064439704
20,3.226663,-8.742561,-0.007281066
21,-0.6348686,-7.58253,-0.02042151
22,2.6926093,-15.673948,-0.01934678
23,10.095934,-15.634985,-0.011835512
24,6.0361967,-11.695904,-0.006493317
25,16.177292,-8.642246,0.01856943
26,23.917568,-11.787777,0.011356683
27,21.84044,-6.121137,0.012092476
28,21.575434,0.29548407,-0.0024641785
29,17.290722,2.334217,-0.002406046
30,16.53851,13.508732,0.0005080765
31,20.237087,19.629131,0.0036663273
32,11.521548,17.555693,0.009537261
33,8.6107,11.53096,0.0005705268
34,8.231726,15.634315,-0.0064886296
35,6.270755,12.0185,-0.012826541
36,0.78649193,15.656351,-0.02609023
37,-0.094493866,6.097459,-0.019110013
38,-8.694439,6.010519,-0.012170605
39,-6.2832828,8.4876795,-0.015805028
40,-8.586139,11.962918,-0.014532061
41,-18.778402,3.9587893,-0.017855104
42,-18.328972,4.0530014,-0.022671994
43,-11.792392,5.5515537,-0.004559006
44,-12.7146635,2.8822474,0.0011890978
45,-19.054323,9.41757,0.016927876
46,-19.437208,5.3466835,0.001323575
47,-15.84858,0.77855635,0.003111532
48,-13.973497,-2.6096148,-0.001980397
49,-5.442173,-8.919731,-0.014487609
50,-1.2562168,-10.173498,-0.01809894
51,-1.0927215,-6.9394293,-0.010164252
52,-0.06580591,-12.434224,-0.014575601
53,4.525482,-16.671206,0.015286138
54,0.13628435,-7.942465,0.020753996
55,6.853239,-0.9368994,0.010878464
56,11.28198,-2.673579,0.012863794
57,11.59338,-2.8988292,0.02731184
58,9.509469,-0.2921052,0.04441689
59,13.483896,-7.282289,0.037496738
60,17.611256,-5.1300144,0.042388074
61,9.098206,-6.433034,0.039613955
62,6.0549045,-7.1959653,0.044078104
63,9.058645,-6.539511,0.046038363
64,7.155127,-6.321014,0.040136695
65,10.556839,-7.129016,0.06134568
66,7.656266,-8.416459,0.05260032
67,24.082226,-18.857134,0.055256695
68,19.45661,-13.395956,0.050422132
69,24.238033,-9.557592,0.032420084
70,24.433533,-9.999875,0.024599368
71,21.206203,-10.106314,0.021435795
72,8.610334,-9.237122,0.019790709
73,2.311627,-13.790857,0.008567495
74,-2.1746697,-6.9709673,-0.0068436638
75,3.9628005,-8.37335,0.0018726839
76,4.245636,-9.465967,-0.0005107359
77,2.0712955,-17.16964,-0.004052083
78,2.6314502,-21.459604,-0.014983181
79,8.653112,-24.19683,-0.021231573
80,10.485027,-24.721277,-0.019175587
81,9.755457,-23.797546,-0.018725451
82,13.673124,-16.218351,-0.03422171
83,18.705526,-12.010804,-0.011950934
84,20.17565,-4.9231043,-0.027612034
85,12.97595,-1.0796826,-0.049531016
86,8.54199,0.075330734,-0.024062634
87,-2.4872923,7.223281,-0.0073590614
88,-9.438696,-4.1661215,-0.020390872
89,-13.890974,-6.6631794,-0.028113792
90,-18.955168,-7.8850226,-0.028408706
91,-19.913202,-4.2480783,-0.024776887
92,-12.2377825,-3.964678,-0.014227003
93,-8.923276,-4.039818,-0.027431142
94,-14.349541,3.7039871,-0.017029494
95,-20.060772,9.034889,-0.014096683
96,-24.072504,14.349583,-0.014545975
97,-18.688751,17.70961,-0.017034974
