frame,dx,dy,da
0,0.25178418,-0.20220461,0.0022601162
1,0.12678325,-0.49643043,0.0021887093
2,-0.32331696,-0.31936696,0.001579089
3,-0.11094439,-0.2945431,0.00050920155
4,-0.41286135,-0.823077,-0.00071810064
5,-0.3903851,-1.2359631,-0.0003108804
6,-0.57918644,-1.2590644,-0.00025412254
7,-1.0313916,-0.9447624,-0.002170845
8,-0.6110932,-0.36038753,-0.003162021
9,-1.0599042,-0.78132117,-0.0036343394
10,-1.1067616,-0.39340556,-0.003474457
11,-0.8522332,-1.0236119,-0.0030979833
12,-0.4347744,-0.935448,-0.0032913748
13,-0.20656937,-0.64497435,-0.0033159931
14,-0.43815875,-0.5179793,-0.0025432426
15,-0.68300474,0.098935306,-0.00093193806
16,-0.47467208,0.026998788,-0.000982037
17,-1.4141215,-0.5531094,-0.0005042315
18,-1.5955154,-0.17184035,-0.00031522248
19,-1.5956382,-0.43967015,0.00076834817
20,-1.9509509,-1.3691514,0.0011184651
21,-2.2280736,-1.9023622,0.0018455619
22,-2.4849658,-1.9698994,0.0019444391
23,-2.2946963,-2.109044,0.0016697866
24,-3.12084,-2.6636775,-0.00019174203
25,-2.8536453,-3.1472006,-0.00017488236
26,-3.9826431,-2.721929,0.0009383954
27,-3.802741,-1.6103123,0.0016594218
28,-3.4893453,-1.5665325,0.0015295673
29,-4.4252152,-1.9039103,0.0022127302
30,-4.0914187,-2.0924134,0.0036303068
31,-5.164446,-2.5338836,0.004276011
32,-4.575,-3.0006826,0.0044144117
33,-5.571712,-1.9438224,0.00504369
34,-5.931919,-1.8097066,0.0055111796
35,-6.6442733,-1.1332753,0.0056608627
36,-7.0327764,-1.359391,0.0050637536
37,-6.852421,-0.55032307,0.0037830847
38,-7.326793,-0.064614266,0.0021165423
39,-7.4946012,-0.61534256,0.0019829425
40,-8.55375,-1.440883,0.0021708636
41,-9.110764,-1.7438868,0.0007406601
42,-8.687348,-2.1287289,-0.00030366518
43,-7.778357,-1.526258,0.0017761862
44,-7.482182,-1.8797317,0.00025876926
45,-7.281861,-2.8402834,0.0017494736
46,-6.048774,-2.962077,0.0013917065
47,-5.643217,-2.1402485,0.0016896187
48,-4.5047975,-2.6151664,0.0014974663
49,-3.5626514,-2.60803,0.0026990487
50,-2.9559624,-3.4102194,0.0039016441
51,-2.627347,-3.3853207,0.004781731
52,-2.0020738,-3.2474124,0.005573261
53,-0.783483,-4.642376,0.0057800007
54,0.1234709,-5.055246,0.0060618236
55,1.0718582,-5.610341,0.0055167777
56,2.2000425,-5.563599,0.005878141
57,4.3723536,-5.0826454,0.004751498
58,4.6018963,-5.2862177,0.0044364175
59,5.5049973,-7.129487,0.0035542587
60,6.7435584,-7.0045795,0.0055049798
61,7.721221,-6.9545536,0.0071795955
62,9.245117,-6.739387,0.0057786414
63,10.078732,-6.9845815,0.0046399543
64,11.339057,-6.8113456,0.0034330743
65,12.32518,-6.5091143,0.003919394
66,14.319322,-6.0833573,0.0033614165
67,14.882615,-5.506192,0.0030660888
68,16.036219,-5.426306,0.0038556966
69,16.59365,-5.5097437,0.004689305
70,15.660315,-5.385431,0.0046764
71,15.1178055,-4.8466854,0.0034203075
72,14.118841,-4.023531,0.0027214151
73,12.907634,-2.9446692,0.0016496624
74,12.518423,-2.9117827,0.0018584232
75,13.252027,-1.9408038,0.001509794
76,13.094457,-1.3120666,0.00047725526
77,14.030243,-1.1659755,0.0014499149
78,14.411337,-0.9348061,0.0018642682
79,14.652103,-1.2767632,0.0021500704
80,14.074761,-0.45246887,0.0011283485
81,12.930384,0.9868227,0.00155827
82,12.01249,1.3565006,0.0006480885
83,11.360023,1.4666928,0.0002637019
84,9.830655,1.7556163,-0.0008802819
85,8.836462,2.3145185,-0.001324806
86,7.4508576,2.8313227,-0.0024271836
87,5.3064466,2.8595552,-0.0030761927
88,3.1393533,3.4760873,-0.002050499
89,2.1695855,4.836541,-0.002696285
90,0.5256436,4.361266,-0.004049643
91,-1.0412953,4.4401026,-0.0028353299
92,-2.5988119,4.7131014,-0.0024227237
93,-4.5816536,5.270974,-0.0031868366
94,-6.296356,4.758067,-0.0044279997
95,-7.834015,5.698036,-0.0048182555
96,-9.3297,7.108677,-0.0061784335
97,-10.462572,7.6158085,-0.0076485863
