frame,dx,dy,da
0,3.9363883,-0.46792567,0.0060333787
1,1.4625249,-1.5947464,-0.0016601449
2,3.1352997,0.714218,0.0052672853
3,0.26509485,-0.79579663,0.005319339
4,-0.16417977,1.2812393,-0.0045289593
5,-0.45645523,0.93421674,-0.007444725
6,-1.5072218,0.32025027,-0.0042413184
7,-2.6814244,-3.4874778,-0.0096284
8,-6.030943,-2.566667,-0.005635171
9,-5.879978,-2.7962868,-0.01010378
10,-2.6587908,-6.0716476,-0.009482434
11,-1.9634914,-4.2959604,-0.002992672
12,-3.6879084,-4.69286,0.002079683
13,-1.2638271,-4.271632,-0.004664745
14,-0.8922174,-1.5396616,-0.0036168888
15,-0.44299734,3.6077147,-0.0035036155
16,-0.081931114,1.9201143,-0.01095763
17,-2.553855,2.1476915,-0.006514473
18,-7.8475523,1.7326723,-0.006754747
19,-8.003738,0.93737054,-0.006344661
20,-6.959925,1.5659573,-0.0061896457
21,-5.894703,2.6410928,-0.006659306
22,-5.60903,-0.8114066,0.0038933624
23,-7.879142,-3.7988913,0.012212497
24,-7.2214255,-3.4709113,0.017976757
25,-5.6437683,-1.4269075,0.0111193415
26,-7.487713,-4.1226597,0.008491408
27,-5.276702,-3.2509382,0.006631191
28,-2.8036442,-4.8816314,0.0077849813
29,-1.9818758,-6.4572926,0.006117882
30,-1.2570131,-9.052637,0.010662157
31,-2.498117,-10.299551,0.012081675
32,-3.316949,-7.740799,0.008572003
33,-3.2136357,-6.7001057,0.004523204
34,-2.052893,-3.962407,0.010788307
35,-3.423259,-1.3954632,0.0037970035
36,0.6384095,-4.8023224,0.0029838858
37,0.55682766,-3.9590337,0.001415279
38,0.45064867,-6.2541103,0.0009296087
39,0.09197642,-5.6488543,0.0011265315
40,-0.4497863,-2.4958057,0.006545113
41,-1.9624262,-3.012463,0.0072945612
42,-1.9836862,-3.949511,0.009747575
43,-0.25836474,-4.488545,0.013732151
44,-0.62343055,-1.1641003,0.009681452
45,-1.0791097,-1.8185734,0.0058109076
46,-4.0039797,-4.114003,0.013035506
47,-0.9120979,-3.1295419,0.01312978
48,-1.3943367,-1.7845055,0.012462374
49,0.5102451,-0.8919239,0.01812643
50,2.8974957,1.5070171,0.022171699
51,1.5873191,3.3106215,0.011641386
52,1.1977277,2.6573226,0.01530876
53,0.40164852,3.4905097,0.015316832
54,-4.0517726,3.525365,0.011263229
55,-1.7584231,3.5203142,0.0046895435
56,0.35019922,-0.19703364,0.002459616
57,2.401222,-1.5807095,-0.0008429268
58,2.1166604,1.3558242,0.0028002495
59,3.6387088,1.2249353,0.001034149
60,4.440215,3.639648,0.00045097852
61,4.290587,2.1990466,-0.0028891063
62,3.9129796,1.2282754,-0.0018312325
63,8.450447,0.35279417,-0.0018193552
64,9.115838,2.830544,0.0033931364
65,8.330143,3.0590189,0.0014635669
66,10.090037,3.156105,-0.001310047
67,12.631469,3.0836644,0.001436816
68,14.551962,3.8192437,0.0014145677
69,15.859616,1.6152456,0.005623195
70,15.813489,3.1609502,0.00028876448
71,14.663877,1.7276568,0.0064981226
72,13.782059,0.74906206,0.006431389
73,11.280498,2.510451,0.0012188351
74,6.2915163,3.9875028,0.0033573194
75,3.5047834,1.5089797,0.0058306134
76,4.2998247,2.5687242,0.011627447
77,6.262373,5.095113,0.015214314
78,6.589178,5.4015865,0.009464736
79,8.803769,4.1307225,0.010834384
80,8.861379,3.4449358,0.015877064
81,7.8808036,3.9968493,0.014232621
82,6.8967533,-0.046127558,0.01697675
83,7.21226,1.9982204,0.0193869
84,7.8271527,0.9191165,0.013525327
85,7.9498034,3.4964402,0.01147439
86,8.108032,3.2141972,0.010485084
87,10.02122,1.0389996,0.002894599
88,9.892922,2.8755572,0.0012951521
89,7.7174435,2.5282402,-0.0070977802
90,6.5455627,5.0470266,-0.0020500738
91,6.3819857,6.1292815,-0.009712488
92,5.77538,6.6359415,-0.0100527005
93,1.8678057,2.6629317,-0.008572867
94,1.336031,1.6161608,-0.011724712
95,-3.7577822,1.6930109,-0.011010695
96,-6.244481,0.7310915,-0.014943477
97,-8.8286,-0.21968925,-0.020137552
